                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.6883,                 1.1611,                 2.1451,                 1.8429,                 1.7825,                 2.2465,                0.55187,                0.73684,                0.67262,                0.26643,                 1.5782,                 3.1211,                 2.5541,                 1.6478,                 3.7975,                 2.7554,              0.0011486,              0.0011486,              0.0011486
                     89,                 1.5619,                 1.2491,                 2.0478,                 1.6619,                 1.9404,                 2.1001,                0.82179,                0.57895,                0.68363,                0.27298,                 1.6051,                 3.4611,                 2.5531,                 1.6918,                   3.92,                 2.7084,              0.0011387,              0.0011387,              0.0011387
                     90,                 1.6369,                 1.0296,                 1.9588,                 1.6962,                 1.4739,                 1.9971,                0.39727,                0.57895,                0.44732,                 0.2078,                 1.6027,                 2.7581,                 2.4615,                 1.5953,                 3.2038,                  2.523,              0.0011288,              0.0011288,              0.0011288
                     91,                  1.662,                 1.0291,                 1.9093,                 1.6262,                  1.536,                 1.8954,                0.57174,                0.52632,                0.46159,                0.17498,                 1.7225,                 2.7776,                 2.4706,                 1.7179,                 3.3836,                 2.6107,              0.0011189,              0.0011189,              0.0011189
                     92,                 1.4918,                 1.0118,                 1.8423,                 1.5763,                 1.6397,                 1.9051,                0.57503,                0.68421,                 0.5481,                0.21242,                 1.8972,                 2.1073,                 2.6777,                 2.0516,                 2.8891,                 2.9841,               0.001109,               0.001109,               0.001109
                     93,                 1.5501,                 1.0461,                 1.9248,                 1.6472,                 1.6033,                 1.9886,                0.64979,                0.73684,                0.75246,                0.27303,                 1.9995,                 1.8538,                 2.8775,                 2.0509,                 2.6464,                 3.1479,              0.0010991,              0.0010991,              0.0010991
                     94,                 1.5349,                 1.0082,                 1.8367,                 1.7045,                 1.5074,                 1.9948,                0.44728,                0.68421,                 0.4411,                0.20685,                 1.6544,                 1.9071,                 2.5213,                 1.5882,                 3.5137,                  2.456,              0.0010892,              0.0010892,              0.0010892
                     95,                 1.3897,                0.89321,                 1.8092,                 1.5149,                  1.403,                 1.9241,                0.39054,                0.63158,                 0.3951,                0.19902,                 1.5392,                 2.0359,                 2.4587,                 1.5088,                 4.4748,                 2.4092,              0.0010793,              0.0010793,              0.0010793
                     96,                  1.413,                 1.0093,                 1.7738,                 1.5615,                 1.5182,                 1.8336,                0.34149,                0.68421,                0.37776,                0.17561,                 1.6605,                 2.1021,                  2.671,                 1.5153,                 5.4241,                  2.823,              0.0010694,              0.0010694,              0.0010694
                     97,                 1.4906,                0.95667,                 1.7708,                 1.4917,                 1.4488,                 1.8052,                 0.3908,                0.68421,                0.38598,                0.18945,                 1.6124,                 2.0473,                 2.6466,                 1.5889,                 4.5168,                 2.8776,              0.0010595,              0.0010595,              0.0010595
                     98,                 1.6262,                 1.0468,                 1.9936,                 1.8155,                 1.7163,                 2.1604,                0.56898,                0.73684,                0.69015,                0.30102,                 1.6637,                 1.9343,                 2.7616,                 1.8823,                 2.5298,                 2.9097,              0.0010496,              0.0010496,              0.0010496
